0,0,0,0,0,0
0.028403436,0.03658,0.05896,0.023655,0.0082633,0.094521
0.041711368,0.0628169,0.084756,0.085249,0.095244,0.1478623
0.055973727,0.0896315,0.1052896,0.165283,0.153619,0.2563222
0.07438744,0.205267,0.218561,0.286911,0.32508,0.54579
0.363077042,0.493671,0.396379,0.49725,0.700406,1.102947
0.701079009,0.977823,0.845786,1.003257,1.18477,1.926344
0.807049457,0.99574635,0.95683142,1.1475885,1.49632,2.1058976
0.803628166,1.1152769,0.9475638,1.213572,1.52528,2.1678269
0.812595537,1.156941,0.956233,1.204593,1.5273,2.252698
