0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01637,0.02796,0.01463,0.0087,0.0096,0.0221,0.00812,0.02046,0.0236,0.03164,0.04171,0.0071,0.03289,0.01763
0.0596,0.05791,0.07016,0.01723,0.0472,0.0782,0.02726,0.04741,0.09514,0.0718,0.09341,0.0241,0.08782,0.06491
0.1123,0.1271,0.1345,0.06471,0.0816,0.137,0.1003,0.0825,0.1736,0.1625,0.1742,0.04418,0.1788,0.1443
0.2017,0.2403,0.2243,0.1322,0.1337,0.2406,0.1598,0.1571,0.2901,0.3326,0.3492,0.0902,0.2889,0.2433
0.3927,0.4982,0.5006,0.2879,0.3311,0.5361,0.3664,0.2991,0.7127,0.6942,0.5928,0.1767,0.7063,0.5143
0.8791,0.9966,0.8912,0.5923,0.6633,1.0912,0.6782,0.5982,1.3952,1.5431,1.3326,0.3568,1.3835,1.1231
0.9716,1.1627,1.0956,0.6987,0.7419,1.2961,0.8116,0.6924,1.5961,1.7216,1.5031,0.3986,1.5973,1.2937
0.9842,1.2423,1.133,0.7146,0.762,1.3476,0.8564,0.7012,1.6471,1.7682,1.5888,0.4199,1.6744,1.3304
0.9883,1.2493,1.1334,0.7462,0.7631,1.3477,0.8643,0.7114,1.6913,1.7802,1.5888,0.4289,1.6746,1.3335
