0,0,0,0,0,0,0,0,0,0,0,0,0
0.021763,0.008,0.036314,0.03256,0.12634,0.084756,0.035624,0.025237,0.025417,0.0412637,0.051479,0.033175,0.04526
0.063742,0.0147,0.055067,0.062493,0.13608,0.123294,0.069531,0.0854712,0.052649,0.096517,0.0845763,0.085637,0.105278
0.136244,0.028574,0.112936,0.125276,0.21536,0.21467,0.145278,0.166338,0.0965243,0.1965243,0.152796,0.1524633,0.155433
0.524963,0.225766,0.203789,0.216937,0.362577,0.337469,0.231576,0.246371,0.233496,0.402699,0.341536,0.256749,0.258964
0.954306,0.528941,0.391863,0.4038579,0.58196,0.571963,0.452789,0.4856712,0.436374,0.815471,0.754823,0.597911,0.494853
1.759641,0.950315,0.812467,0.757693,1.162457,0.982589,0.993259,1.165217,0.896417,1.564729,1.352479,1.164203,0.9956317
2.114253,1.013274,0.92314672,0.9524637,1.463217,1.224793,1.225893,1.361774,1.083627,1.798964,1.715284,1.392796,1.190054
2.166259,1.1459671,0.942633,0.9845763,1.564527,1.304586,1.256379,1.420488,1.102647,1.836259,1.736541,1.423074,1.245689
2.215264,1.14452796,0.963175,0.985631452,1.569602,1.32769,1.263742,1.421576,1.112456,1.8561432,1.745296,1.452276,1.264176
