0.002,0.0063,0.011,0.0075,0.015,0.092,0.018,0.0062,0,0,0.0364,0
0.0096,0.062,0.041,0.095,0.016,0.099,0.0533,0.0066,0,0.0556,0.0325,0.0057
0.026,0.042,0.066,0.041,0.082,0.154,0.088,0.095,0.057,0.0064,0.107,0.0493
0.052,0.044,0.123,0.044,0.069,0.112,0.146,0.0236,0.062,0.0426,0.116,0.123
0.092,0.049,0.129,0.052,0.059,0.142,0.2451,0.114,0.182,0.127,0.153,0.215
0.041,0.085,0.162,0.106,0.071,0.125,0.3357,0.1179,0.2771,0.156,0.166,0.266
0.044,0.082,0.149,0.336,0.082,0.114,0.357,0.3048,0.2968,0.1795,0.204,0.3141
0.096,0.074,0.218,0.314,0.096,0.124,0.356,0.3267,0.354,0.1763,0.222,0.329
0.074,0.095,0.256,0.335,0.098,0.156,0.4056,0.3659,0.3896,0.2156,0.386,0.386
0.098,0.1284,0.302,0.345,0.126,0.177,0.4122,0.3596,0.3911,0.2113,0.394,0.402
