0.058,0.103,0.056,0.005,0.077,0.11
0.041,0.116,0.084,0.101,0.085,0.119
0.062,0.214,0.106,0.117,0.111,0.124
0.152,0.375,0.263,0.132,0.158,0.213
0.796,0.796,0.694,0.775,0.639,0.637
0.775,0.856,0.807,0.806,0.72,0.778
0.891,0.877,0.869,0.81,0.731,0.796
0.888,0.904,0.879,0.829,0.755,0.853
0.89,0.883,0.897,0.827,0.759,0.902
0.895,0.888,0.896,0.822,0.762,0.909
