0.436,0.642,0.561,0.622,0.681,0.839,0.887,0.576,0.617,0.514,0.611,0.712,0.521,0.602
0.449,0.664,0.655,0.758,0.664,0.806,0.806,0.642,0.624,0.555,0.613,0.774,0.519,0.611
0.449,0.795,0.784,0.774,0.513,0.881,0.845,0.644,0.695,0.619,0.613,0.752,0.506,0.609
0.434,0.612,0.776,0.716,0.664,0.846,0.886,0.728,0.724,0.647,0.612,0.738,0.514,0.616
0.436,0.744,0.661,0.662,0.762,0.752,0.802,0.712,0.775,0.622,0.611,0.743,0.516,0.608
0.466,0.786,0.685,0.776,0.775,0.882,0.882,0.776,0.787,0.648,0.624,0.806,0.524,0.633
0.466,0.846,0.884,0.651,0.716,0.855,0.816,0.752,0.785,0.664,0.688,0.809,0.524,0.637
0.751,0.881,0.871,0.689,0.782,0.962,0.887,0.771,0.772,0.759,0.684,0.811,0.523,0.641
0.764,0.755,0.766,0.799,0.788,0.976,0.885,0.702,0.779,0.775,0.688,0.823,0.533,0.641
0.771,0.804,0.817,0.799,0.772,0.982,0.888,0.746,0.762,0.772,0.609,0.883,0.54,0.64
